Year,Emis
1750,1.44776511
1751,1.45166303
1752,1.45555506
1753,1.45943615
1754,1.46331136
1755,1.46717815
1756,1.47147742
1757,1.47532729
1758,1.47916874
1759,1.48300178
1760,1.48682389
1761,1.49090257
1762,1.49431843
1763,1.49772590
1764,1.50112497
1765,1.50451565
1766,1.50876759
1767,1.51214128
1768,1.51550658
1769,1.51886349
1770,1.52221200
1771,1.53652555
1772,1.54991105
1773,1.56328252
1774,1.57663997
1775,1.58998340
1776,1.60427569
1777,1.61759084
1778,1.63089197
1779,1.64417908
1780,1.65745467
1781,1.66465810
1782,1.67062987
1783,1.67659247
1784,1.68254090
1785,1.68848053
1786,1.69596161
1787,1.70187716
1788,1.70777855
1789,1.71367076
1790,1.71955131
1791,1.72298827
1792,1.72513235
1793,1.72702467
1794,1.72887694
1795,1.73073992
1796,1.73329018
1797,1.73589657
1798,1.73839072
1799,1.74109450
1800,1.74364653
1801,1.75639724
1802,1.77142022
1803,1.78410417
1804,1.79883796
1805,1.81057142
1806,1.82427878
1807,1.83739106
1808,1.84936759
1809,1.86190109
1810,1.87608310
1811,1.88581283
1812,1.89507991
1813,1.90344686
1814,1.91219071
1815,1.92121803
1816,1.93223175
1817,1.94111259
1818,1.94921680
1819,1.95780092
1820,1.96639961
1821,1.98274113
1822,1.99994134
1823,2.01748642
1824,2.03497086
1825,2.05163078
1826,2.06784784
1827,2.08638634
1828,2.10248620
1829,2.11825797
1830,2.14459713
1831,2.15861017
1832,2.17493773
1833,2.19194674
1834,2.20911219
1835,2.22538942
1836,2.25035037
1837,2.26546668
1838,2.28333654
1839,2.30066606
1840,2.31945923
1841,2.33794357
1842,2.35734445
1843,2.37565058
1844,2.39554473
1845,2.41846853
1846,2.43231612
1847,2.45531238
1848,2.47120350
1849,2.49158070
1850,2.51489265
1851,2.52352008
1852,2.53944974
1853,2.55731404
1854,2.59171087
1855,2.60488253
1856,2.62802378
1857,2.64243867
1858,2.65782857
1859,2.68256914
1860,2.71196481
1861,2.72936374
1862,2.74193436
1863,2.76560768
1864,2.78959825
1865,2.81189660
1866,2.83289165
1867,2.84989483
1868,2.86267274
1869,2.88738723
1870,2.91283725
1871,2.94926352
1872,2.98781692
1873,3.01686416
1874,3.01344963
1875,3.03484392
1876,3.04550612
1877,3.06519065
1878,3.07610027
1879,3.11371438
1880,3.16982540
1881,3.18962059
1882,3.22408117
1883,3.25417621
1884,3.26847472
1885,3.27687237
1886,3.29674447
1887,3.32743285
1888,3.39637399
1889,3.40306984
1890,3.48468928
1891,3.53105557
1892,3.54898084
1893,3.54759102
1894,3.56535310
1895,3.62929622
1896,3.64541030
1897,3.67066732
1898,3.70734408
1899,3.78575360
1900,3.83402358
1901,3.88349266
1902,3.93394735
1903,4.05663544
1904,4.07902264
1905,4.17258857
1906,4.23548097
1907,4.42382025
1908,4.36650735
1909,4.43000673
1910,4.52331179
1911,4.57497602
1912,4.66763665
1913,4.83012066
1914,4.69425500
1915,4.70642746
1916,4.83830910
1917,4.93687781
1918,4.94515202
1919,4.74391006
1920,5.07034189
1921,4.89481261
1922,5.05359389
1923,5.48327119
1924,5.46041447
1925,5.53497198
1926,5.52958852
1927,5.74762171
1928,5.72061973
1929,5.92871528
1930,5.62854172
1931,5.41321082
1932,5.20916560
1933,5.38364203
1934,5.49654716
1935,5.65301730
1936,5.89231195
1937,6.17078171
1938,5.98275757
1939,6.14267621
1940,6.36839413
1941,6.50241630
1942,6.44598062
1943,6.60500592
1944,6.80371622
1945,6.57773905
1946,6.65911217
1947,6.78111094
1948,7.07652901
1949,6.99365421
1950,7.37687813
1951,7.65229224
1952,7.76628441
1953,7.91218113
1954,8.01473457
1955,8.40755938
1956,8.66111904
1957,8.68207318
1958,8.88234134
1959,9.16137868
1960,9.33020472
1961,9.36121153
1962,9.61543706
1963,9.93419701
1964,10.17209065
1965,10.45560404
1966,10.82233451
1967,11.06603876
1968,11.68996728
1969,12.25635444
1970,12.92011952
1971,13.14115557
1972,13.52104189
1973,13.82952901
1974,13.60713369
1975,13.83030764
1976,14.20173228
1977,14.57855786
1978,15.07928684
1979,15.08464484
1980,14.76241343
1981,14.67223490
1982,14.68561845
1983,14.74463566
1984,14.90572394
1985,15.15753469
1986,15.23272646
1987,15.43612623
1988,15.62263941
1989,15.58289999
1990,15.32347892
1991,15.10586347
1992,14.88500774
1993,14.82455910
1994,14.40790489
1995,14.44968789
1996,14.10966361
1997,14.10613080
1998,13.87927346
1999,13.54715036
2000,13.60649495
2001,13.30620512
2002,12.77023105
2003,12.74862907
2004,12.79096934
2005,12.73126060
2006,12.57920574
2007,12.38406895
2008,12.09961576
2009,11.84294631
2010,11.74803744
2011,11.60792906
2012,11.54267809
2013,11.50604531
2014,11.17268784
2015,10.98447769
2016,10.52523350
2017,10.35267634
2018,10.07134227
2019,9.72219177
2020,9.16183804
2021,9.18331490
2022,9.03650241
